EmploymentField,EmploymentStatus,Gender,LanguageAtHome,JobWherePref,SchoolDegree,Income
office and administrative support,Employed for wages,female,French,in an office with other developers,master's degree (non-professional),30000.0
office and administrative support,Employed for wages,female,English,in an office with other developers,bachelor's degree,28000.0
food and beverage,Employed for wages,female,English,in an office with other developers,bachelor's degree,25000.0
finance,Employed for wages,male,English,in an office with other developers,bachelor's degree,45000.0
health care,Employed for wages,male,English,in an office with other developers,bachelor's degree,20000.0
office and administrative support,Self-employed freelancer,female,English,in an office with other developers,"some college credit, no degree",12000.0
"arts, entertainment, sports, or media",Self-employed business owner,male,Bengali,in an office with other developers,bachelor's degree,40000.0
office and administrative support,Employed for wages,female,Yue (Cantonese) Chinese,in an office with other developers,"some college credit, no degree",50000.0
sales,Employed for wages,male,English,in an office with other developers,associate's degree,13000.0
education,Self-employed business owner,male,English,in an office with other developers,bachelor's degree,47000.0
office and administrative support,Employed for wages,female,English,in an office with other developers,high school diploma or equivalent (GED),40000.0
education,Employed for wages,male,English,from home,bachelor's degree,50000.0
education,Employed for wages,male,English,from home,master's degree (non-professional),45000.0
education,Employed for wages,female,English,in an office with other developers,bachelor's degree,36000.0
construction and extraction,Employed for wages,male,English,in an office with other developers,"trade, technical, or vocational training",45000.0
food and beverage,Employed for wages,male,English,in an office with other developers,bachelor's degree,8000.0
education,Employed for wages,female,English,in an office with other developers,master's degree (non-professional),21000.0
office and administrative support,Employed for wages,male,Tagalog,in an office with other developers,bachelor's degree,28000.0
health care,Employed for wages,female,English,in an office with other developers,bachelor's degree,35000.0
office and administrative support,Employed for wages,male,Spanish,in an office with other developers,high school diploma or equivalent (GED),28000.0
"arts, entertainment, sports, or media",Self-employed freelancer,male,English,in an office with other developers,master's degree (non-professional),15000.0
health care,Employed for wages,male,English,from home,"trade, technical, or vocational training",62000.0
software development,Employed for wages,male,English,in an office with other developers,bachelor's degree,31000.0
office and administrative support,Employed for wages,female,English,from home,"some college credit, no degree",50800.0
health care,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",42000.0
food and beverage,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",40000.0
"arts, entertainment, sports, or media",Employed for wages,male,Spanish,in an office with other developers,bachelor's degree,43000.0
sales,Employed for wages,female,English,in an office with other developers,bachelor's degree,35000.0
software development,Employed for wages,female,English,in an office with other developers,high school diploma or equivalent (GED),65000.0
software development,Employed for wages,female,English,in an office with other developers,bachelor's degree,60000.0
"arts, entertainment, sports, or media",Employed for wages,male,English,in an office with other developers,bachelor's degree,20000.0
software development,Self-employed business owner,male,English,in an office with other developers,bachelor's degree,160000.0
education,Employed for wages,male,English,from home,bachelor's degree,45000.0
construction and extraction,Employed for wages,male,English,in an office with other developers,high school diploma or equivalent (GED),32000.0
education,Employed for wages,male,English,from home,bachelor's degree,35000.0
software development and IT,Employed for wages,male,Tamil,in an office with other developers,bachelor's degree,25000.0
software development and IT,Employed for wages,female,English,in an office with other developers,bachelor's degree,26000.0
software development and IT,Employed for wages,female,English,from home,"professional degree (MBA, MD, JD, etc.)",70000.0
software development and IT,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",85000.0
office and administrative support,Employed for wages,male,English,from home,bachelor's degree,23000.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,50000.0
"arts, entertainment, sports, or media",Employed for wages,male,English,from home,Ph.D.,34000.0
"arts, entertainment, sports, or media",Employed for wages,female,English,in an office with other developers,master's degree (non-professional),45000.0
sales,Employed for wages,male,English,in an office with other developers,"professional degree (MBA, MD, JD, etc.)",53000.0
software development and IT,Employed for wages,male,English,from home,high school diploma or equivalent (GED),80000.0
software development and IT,Employed for wages,male,English,from home,bachelor's degree,32000.0
"arts, entertainment, sports, or media",Employed for wages,female,English,in an office with other developers,bachelor's degree,36000.0
software development and IT,Self-employed freelancer,male,English,in an office with other developers,associate's degree,50000.0
education,Employed for wages,female,Mandarin Chinese,in an office with other developers,master's degree (non-professional),60000.0
education,Employed for wages,male,English,in an office with other developers,master's degree (non-professional),32000.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,41000.0
education,Employed for wages,male,English,in an office with other developers,bachelor's degree,55000.0
food and beverage,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",17000.0
"farming, fishing, and forestry",Employed for wages,female,English,in an office with other developers,bachelor's degree,28000.0
software development and IT,Employed for wages,male,English,in an office with other developers,master's degree (non-professional),50000.0
sales,Employed for wages,male,English,from home,"some college credit, no degree",65000.0
construction and extraction,Employed for wages,male,English,from home,associate's degree,35000.0
software development and IT,Employed for wages,female,English,in an office with other developers,"some college credit, no degree",44000.0
food and beverage,Employed for wages,male,English,in an office with other developers,high school diploma or equivalent (GED),12000.0
office and administrative support,Employed for wages,female,Korean,in an office with other developers,bachelor's degree,40000.0
transportation,Employed for wages,male,English,in an office with other developers,bachelor's degree,40000.0
food and beverage,Employed for wages,male,English,in an office with other developers,high school diploma or equivalent (GED),35000.0
finance,Employed for wages,male,English,in an office with other developers,"professional degree (MBA, MD, JD, etc.)",77000.0
sales,Employed for wages,female,Tagalog,in an office with other developers,high school diploma or equivalent (GED),15000.0
transportation,Employed for wages,male,Russian,in an office with other developers,"some college credit, no degree",7000.0
education,Employed for wages,female,English,in an office with other developers,master's degree (non-professional),37000.0
software development and IT,Self-employed freelancer,male,English,in an office with other developers,bachelor's degree,20000.0
finance,Employed for wages,male,English,from home,bachelor's degree,48000.0
software development and IT,Employed for wages,female,English,from home,bachelor's degree,70000.0
construction and extraction,Employed for wages,male,English,in an office with other developers,"trade, technical, or vocational training",80000.0
office and administrative support,Employed for wages,female,English,in an office with other developers,master's degree (non-professional),45000.0
architecture or physical engineering,Employed for wages,male,Russian,in an office with other developers,associate's degree,6000.0
software development and IT,Employed for wages,male,Greek,in an office with other developers,bachelor's degree,22000.0
software development and IT,Employed for wages,female,German,in an office with other developers,bachelor's degree,30000.0
software development and IT,Employed for wages,male,Polish,from home,Ph.D.,12000.0
education,Self-employed business owner,male,English,from home,bachelor's degree,50000.0
software development and IT,Employed for wages,male,English,from home,associate's degree,42000.0
"arts, entertainment, sports, or media",Employed for wages,male,Yue (Cantonese) Chinese,in an office with other developers,"professional degree (MBA, MD, JD, etc.)",40000.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,25000.0
software development and IT,Employed for wages,male,Balochi,in an office with other developers,some high school,65000.0
software development and IT,Self-employed freelancer,male,English,from home,"some college credit, no degree",50000.0
software development and IT,Self-employed freelancer,male,English,in an office with other developers,bachelor's degree,42000.0
food and beverage,Employed for wages,male,Serbo-Croatian,in an office with other developers,bachelor's degree,120000.0
food and beverage,Employed for wages,male,English,no preference,bachelor's degree,42000.0
software development and IT,Employed for wages,female,English,in an office with other developers,bachelor's degree,60000.0
software development and IT,Self-employed freelancer,male,Malay Bhasa Indonesia,in an office with other developers,"some college credit, no degree",10000.0
software development and IT,Self-employed freelancer,female,English,from home,"professional degree (MBA, MD, JD, etc.)",40000.0
office and administrative support,Employed for wages,male,English,in an office with other developers,"trade, technical, or vocational training",12000.0
software development and IT,Employed for wages,male,Italian,from home,bachelor's degree,30000.0
software development and IT,Employed for wages,female,Greek,from home,bachelor's degree,7000.0
software development and IT,Employed for wages,male,Russian,in an office with other developers,bachelor's degree,20000.0
software development and IT,Employed for wages,female,Yue (Cantonese) Chinese,no preference,bachelor's degree,13200.0
transportation,Employed for wages,male,Russian,no preference,high school diploma or equivalent (GED),7000.0
software development and IT,Employed for wages,male,English,in an office with other developers,associate's degree,27000.0
"arts, entertainment, sports, or media",Employed for wages,male,Dutch,in an office with other developers,bachelor's degree,24000.0
software development and IT,Employed for wages,male,Russian,no preference,bachelor's degree,20000.0
architecture or physical engineering,Employed for wages,male,Polish,in an office with other developers,bachelor's degree,6500.0
education,Employed for wages,male,English,from home,associate's degree,25000.0
office and administrative support,Employed for wages,female,English,from home,bachelor's degree,27000.0
office and administrative support,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",43200.0
sales,Employed for wages,male,Spanish,in an office with other developers,bachelor's degree,12000.0
health care,Employed for wages,male,Tamil,from home,Ph.D.,10000.0
education,Self-employed business owner,male,Malay Bhasa Indonesia,in an office with other developers,some high school,10000.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,45000.0
construction and extraction,Employed for wages,male,Swedish,in an office with other developers,"some college credit, no degree",25000.0
software development and IT,Self-employed freelancer,female,French,in an office with other developers,"some college credit, no degree",15000.0
transportation,Employed for wages,male,French,in an office with other developers,high school diploma or equivalent (GED),65000.0
finance,Employed for wages,male,Polish,from home,high school diploma or equivalent (GED),11500.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,46000.0
"arts, entertainment, sports, or media",Employed for wages,female,English,no preference,bachelor's degree,50000.0
software development and IT,Employed for wages,male,Polish,from home,master's degree (non-professional),25000.0
software development and IT,Employed for wages,male,Dutch,in an office with other developers,bachelor's degree,60000.0
software development and IT,Employed for wages,male,French,in an office with other developers,bachelor's degree,40000.0
education,Employed for wages,female,Polish,in an office with other developers,"professional degree (MBA, MD, JD, etc.)",9361.0
software development and IT,Employed for wages,male,Romanian,in an office with other developers,bachelor's degree,8000.0
software development and IT,Employed for wages,male,Russian,no preference,bachelor's degree,9500.0
"arts, entertainment, sports, or media",Employed for wages,male,English,in an office with other developers,bachelor's degree,20000.0
software development and IT,Employed for wages,male,German,from home,bachelor's degree,35000.0
health care,Employed for wages,male,Serbo-Croatian,in an office with other developers,master's degree (non-professional),10000.0
sales,Employed for wages,female,English,in an office with other developers,"some college credit, no degree",21500.0
software development and IT,Employed for wages,male,English,from home,bachelor's degree,35000.0
food and beverage,Employed for wages,male,English,in an office with other developers,high school diploma or equivalent (GED),20000.0
education,Employed for wages,male,Swedish,no preference,"trade, technical, or vocational training",38000.0
health care,Employed for wages,male,English,no preference,some high school,38000.0
architecture or physical engineering,Employed for wages,male,English,from home,bachelor's degree,70000.0
software development and IT,Self-employed freelancer,male,Russian,in an office with other developers,master's degree (non-professional),12000.0
software development and IT,Employed for wages,male,Dutch,in an office with other developers,bachelor's degree,22410.0
software development and IT,Employed for wages,male,English,from home,bachelor's degree,42000.0
sales,Employed for wages,male,English,in an office with other developers,bachelor's degree,35000.0
education,Employed for wages,female,English,from home,bachelor's degree,12000.0
transportation,Employed for wages,male,English,no preference,master's degree (non-professional),39000.0
education,Self-employed freelancer,male,German,in an office with other developers,"some college credit, no degree",6000.0
software development and IT,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",26000.0
software development and IT,Self-employed business owner,male,Swedish,in an office with other developers,master's degree (non-professional),70000.0
construction and extraction,Employed for wages,male,English,in an office with other developers,bachelor's degree,54000.0
finance,Employed for wages,female,English,in an office with other developers,master's degree (non-professional),30000.0
"arts, entertainment, sports, or media",Employed for wages,male,English,no preference,associate's degree,16000.0
software development and IT,Employed for wages,male,Russian,in an office with other developers,high school diploma or equivalent (GED),25000.0
software development and IT,Employed for wages,male,English,from home,"professional degree (MBA, MD, JD, etc.)",48500.0
health care,Employed for wages,female,English,in an office with other developers,bachelor's degree,25000.0
software development and IT,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",130000.0
software development and IT,Employed for wages,female,English,in an office with other developers,bachelor's degree,36000.0
transportation,Self-employed freelancer,male,English,from home,no high school (secondary school),65000.0
construction and extraction,Employed for wages,male,Arabic,no preference,Ph.D.,100000.0
software development and IT,Employed for wages,male,Spanish,from home,bachelor's degree,28000.0
education,Employed for wages,female,English,in an office with other developers,bachelor's degree,30000.0
finance,Employed for wages,male,Greek,no preference,high school diploma or equivalent (GED),12000.0
software development and IT,Employed for wages,female,English,from home,master's degree (non-professional),85000.0
food and beverage,Employed for wages,male,English,no preference,bachelor's degree,80000.0
education,Self-employed freelancer,male,English,in an office with other developers,master's degree (non-professional),20000.0
"arts, entertainment, sports, or media",Employed for wages,male,English,in an office with other developers,bachelor's degree,48000.0
food and beverage,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",18000.0
finance,Self-employed freelancer,male,Hindi,no preference,"professional degree (MBA, MD, JD, etc.)",36000.0
education,Employed for wages,male,English,in an office with other developers,Ph.D.,140000.0
"arts, entertainment, sports, or media",Employed for wages,female,English,in an office with other developers,bachelor's degree,42000.0
office and administrative support,Employed for wages,female,English,no preference,"professional degree (MBA, MD, JD, etc.)",40000.0
software development and IT,Employed for wages,male,English,from home,bachelor's degree,160000.0
architecture or physical engineering,Employed for wages,male,English,from home,bachelor's degree,70000.0
finance,Employed for wages,female,English,in an office with other developers,"professional degree (MBA, MD, JD, etc.)",68000.0
sales,Employed for wages,male,English,no preference,bachelor's degree,13000.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,35000.0
sales,Employed for wages,male,English,no preference,"some college credit, no degree",18000.0
office and administrative support,Employed for wages,male,Spanish,no preference,bachelor's degree,40000.0
office and administrative support,Employed for wages,female,English,no preference,bachelor's degree,58000.0
software development and IT,Employed for wages,female,English,in an office with other developers,bachelor's degree,90000.0
software development and IT,Employed for wages,male,English,no preference,master's degree (non-professional),86000.0
office and administrative support,Self-employed freelancer,male,English,in an office with other developers,"some college credit, no degree",20000.0
sales,Employed for wages,female,English,from home,bachelor's degree,70000.0
architecture or physical engineering,Employed for wages,female,French,in an office with other developers,master's degree (non-professional),33550.0
software development and IT,Employed for wages,male,Russian,in an office with other developers,master's degree (non-professional),8000.0
education,Employed for wages,male,Spanish,from home,associate's degree,34000.0
office and administrative support,Employed for wages,male,Portuguese,in an office with other developers,bachelor's degree,12000.0
software development and IT,Employed for wages,female,English,from home,bachelor's degree,50000.0
education,Employed for wages,female,English,from home,master's degree (non-professional),30000.0
sales,Employed for wages,male,Tagalog,in an office with other developers,bachelor's degree,6250.0
software development and IT,Employed for wages,male,Romanian,no preference,master's degree (non-professional),6000.0
software development and IT,Employed for wages,male,English,from home,bachelor's degree,85000.0
finance,Employed for wages,female,English,from home,master's degree (non-professional),55000.0
food and beverage,Employed for wages,male,English,in an office with other developers,bachelor's degree,16000.0
finance,Employed for wages,male,English,in an office with other developers,bachelor's degree,25000.0
architecture or physical engineering,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",45000.0
education,Employed for wages,female,English,in an office with other developers,"professional degree (MBA, MD, JD, etc.)",30000.0
finance,Employed for wages,female,English,in an office with other developers,bachelor's degree,28000.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,70000.0
software development and IT,Employed for wages,male,Spanish,no preference,"some college credit, no degree",47000.0
software development and IT,Employed for wages,female,English,from home,bachelor's degree,12000.0
"arts, entertainment, sports, or media",Employed for wages,male,English,no preference,"trade, technical, or vocational training",54000.0
sales,Employed for wages,male,English,no preference,bachelor's degree,55000.0
sales,Self-employed freelancer,female,English,in an office with other developers,bachelor's degree,18000.0
health care,Employed for wages,female,English,no preference,"professional degree (MBA, MD, JD, etc.)",100000.0
software development and IT,Employed for wages,female,English,no preference,"some college credit, no degree",25000.0
architecture or physical engineering,Employed for wages,female,English,in an office with other developers,bachelor's degree,75000.0
finance,Employed for wages,female,English,no preference,"professional degree (MBA, MD, JD, etc.)",50000.0
transportation,Employed for wages,male,English,in an office with other developers,master's degree (non-professional),42000.0
construction and extraction,Employed for wages,male,English,no preference,high school diploma or equivalent (GED),110000.0
office and administrative support,Employed for wages,male,Spanish,in an office with other developers,"some college credit, no degree",10000.0
software development and IT,Employed for wages,female,English,from home,"some college credit, no degree",42000.0
software development and IT,Employed for wages,male,English,in an office with other developers,"trade, technical, or vocational training",42000.0
office and administrative support,Employed for wages,female,English,no preference,bachelor's degree,60000.0
food and beverage,Employed for wages,female,Polish,in an office with other developers,bachelor's degree,14416.0
education,Employed for wages,female,English,in an office with other developers,master's degree (non-professional),26000.0
software development and IT,Employed for wages,female,English,in an office with other developers,bachelor's degree,10000.0
finance,Employed for wages,male,English,in an office with other developers,bachelor's degree,30000.0
software development and IT,Employed for wages,female,English,in an office with other developers,bachelor's degree,50000.0
food and beverage,Employed for wages,male,English,from home,bachelor's degree,19000.0
office and administrative support,Employed for wages,male,English,from home,"some college credit, no degree",26000.0
office and administrative support,Employed for wages,female,English,from home,bachelor's degree,34000.0
health care,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",30000.0
software development and IT,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",71000.0
software development and IT,Employed for wages,male,English,from home,bachelor's degree,84000.0
software development and IT,Employed for wages,male,English,in an office with other developers,associate's degree,45000.0
office and administrative support,Employed for wages,female,English,in an office with other developers,bachelor's degree,34000.0
software development and IT,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",86000.0
food and beverage,Employed for wages,male,English,in an office with other developers,associate's degree,30000.0
software development and IT,Employed for wages,female,English,in an office with other developers,bachelor's degree,95000.0
"arts, entertainment, sports, or media",Employed for wages,female,Korean,from home,bachelor's degree,35000.0
"arts, entertainment, sports, or media",Employed for wages,male,English,in an office with other developers,bachelor's degree,30000.0
software development and IT,Employed for wages,male,English,from home,bachelor's degree,45000.0
education,Employed for wages,female,English,in an office with other developers,bachelor's degree,42000.0
office and administrative support,Employed for wages,female,English,in an office with other developers,master's degree (non-professional),34500.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,67000.0
software development and IT,Employed for wages,male,Korean,in an office with other developers,bachelor's degree,60000.0
software development and IT,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",40000.0
software development and IT,Self-employed business owner,female,English,from home,bachelor's degree,40000.0
"arts, entertainment, sports, or media",Employed for wages,male,English,from home,associate's degree,45000.0
sales,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",62000.0
food and beverage,Employed for wages,male,English,no preference,"some college credit, no degree",22000.0
software development and IT,Employed for wages,male,English,no preference,"some college credit, no degree",55000.0
"arts, entertainment, sports, or media",Employed for wages,female,English,in an office with other developers,bachelor's degree,40000.0
food and beverage,Employed for wages,male,English,no preference,high school diploma or equivalent (GED),12000.0
office and administrative support,Employed for wages,female,English,no preference,bachelor's degree,40000.0
"arts, entertainment, sports, or media",Employed for wages,male,English,from home,"some college credit, no degree",10000.0
education,Employed for wages,male,English,in an office with other developers,bachelor's degree,28000.0
health care,Employed for wages,male,English,in an office with other developers,bachelor's degree,60000.0
office and administrative support,Employed for wages,male,English,no preference,bachelor's degree,31000.0
health care,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",29000.0
software development and IT,Employed for wages,female,English,from home,"some college credit, no degree",70000.0
software development and IT,Employed for wages,male,Italian,from home,bachelor's degree,17000.0
software development and IT,Employed for wages,male,English,no preference,bachelor's degree,48000.0
software development and IT,Employed for wages,female,Spanish,in an office with other developers,bachelor's degree,13000.0
software development and IT,Employed for wages,male,Swedish,in an office with other developers,"some college credit, no degree",42000.0
finance,Employed for wages,male,English,from home,bachelor's degree,72000.0
education,Employed for wages,female,English,no preference,bachelor's degree,46000.0
health care,Employed for wages,female,English,from home,"trade, technical, or vocational training",25000.0
software development and IT,Employed for wages,male,English,in an office with other developers,master's degree (non-professional),60000.0
architecture or physical engineering,Employed for wages,male,English,no preference,master's degree (non-professional),78000.0
software development and IT,Employed for wages,male,English,from home,"some college credit, no degree",53000.0
sales,Employed for wages,female,English,from home,bachelor's degree,75000.0
software development and IT,Self-employed freelancer,male,English,no preference,bachelor's degree,80000.0
software development and IT,Employed for wages,female,English,no preference,bachelor's degree,87000.0
software development and IT,Employed for wages,male,Spanish,from home,bachelor's degree,15000.0
finance,Employed for wages,female,English,no preference,bachelor's degree,85000.0
education,Employed for wages,female,English,no preference,"trade, technical, or vocational training",20000.0
office and administrative support,Employed for wages,female,English,in an office with other developers,bachelor's degree,40000.0
software development and IT,Employed for wages,male,English,from home,master's degree (non-professional),100000.0
sales,Employed for wages,male,English,no preference,bachelor's degree,43000.0
office and administrative support,Employed for wages,female,English,in an office with other developers,bachelor's degree,27000.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,40000.0
office and administrative support,Employed for wages,male,Spanish,in an office with other developers,"trade, technical, or vocational training",8500.0
office and administrative support,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",28000.0
health care,Employed for wages,male,English,in an office with other developers,master's degree (non-professional),60000.0
office and administrative support,Employed for wages,male,English,no preference,bachelor's degree,30000.0
finance,Employed for wages,male,English,in an office with other developers,bachelor's degree,56000.0
sales,Employed for wages,male,Spanish,in an office with other developers,bachelor's degree,40000.0
software development and IT,Employed for wages,male,Arabic,in an office with other developers,bachelor's degree,37500.0
education,Employed for wages,male,English,no preference,master's degree (non-professional),40000.0
education,Employed for wages,male,English,from home,bachelor's degree,35000.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,70000.0
software development and IT,Employed for wages,male,Spanish,no preference,some high school,8000.0
office and administrative support,Employed for wages,female,English,in an office with other developers,master's degree (non-professional),38000.0
software development and IT,Employed for wages,male,English,in an office with other developers,high school diploma or equivalent (GED),35000.0
architecture or physical engineering,Employed for wages,male,Korean,in an office with other developers,master's degree (non-professional),50000.0
software development and IT,Employed for wages,male,English,from home,"some college credit, no degree",50000.0
health care,Employed for wages,male,English,in an office with other developers,bachelor's degree,55000.0
office and administrative support,Employed for wages,female,English,in an office with other developers,bachelor's degree,36000.0
sales,Employed for wages,female,English,in an office with other developers,bachelor's degree,11000.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,71000.0
education,Employed for wages,female,English,from home,master's degree (non-professional),25000.0
health care,Employed for wages,female,Dutch,from home,"professional degree (MBA, MD, JD, etc.)",40000.0
software development and IT,Employed for wages,male,English,no preference,bachelor's degree,45000.0
architecture or physical engineering,Employed for wages,male,Marathi,in an office with other developers,master's degree (non-professional),18500.0
construction and extraction,Employed for wages,male,English,in an office with other developers,bachelor's degree,30000.0
software development and IT,Employed for wages,male,English,from home,bachelor's degree,75000.0
office and administrative support,Employed for wages,female,English,in an office with other developers,bachelor's degree,38000.0
education,Employed for wages,male,English,from home,master's degree (non-professional),55000.0
software development and IT,Employed for wages,male,Russian,in an office with other developers,bachelor's degree,35000.0
software development and IT,Employed for wages,male,English,no preference,"some college credit, no degree",8000.0
health care,Employed for wages,female,English,in an office with other developers,bachelor's degree,50000.0
education,Employed for wages,female,English,in an office with other developers,master's degree (non-professional),20000.0
architecture or physical engineering,Employed for wages,male,Marathi,from home,Ph.D.,40000.0
finance,Self-employed freelancer,male,Mandarin Chinese,in an office with other developers,bachelor's degree,10000.0
software development and IT,Employed for wages,male,Serbo-Croatian,in an office with other developers,"some college credit, no degree",10000.0
"arts, entertainment, sports, or media",Employed for wages,male,Spanish,from home,"professional degree (MBA, MD, JD, etc.)",8000.0
transportation,Employed for wages,male,English,no preference,associate's degree,44000.0
software development and IT,Self-employed business owner,male,English,in an office with other developers,"trade, technical, or vocational training",15000.0
education,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",47000.0
software development and IT,Employed for wages,male,English,in an office with other developers,associate's degree,41000.0
health care,Employed for wages,male,English,in an office with other developers,bachelor's degree,80000.0
legal,Self-employed freelancer,male,Spanish,in an office with other developers,"some college credit, no degree",13000.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,55000.0
software development and IT,Employed for wages,male,Hindi,from home,bachelor's degree,10000.0
office and administrative support,Employed for wages,male,Polish,from home,"some college credit, no degree",6500.0
software development and IT,Employed for wages,female,English,no preference,"some college credit, no degree",98000.0
"arts, entertainment, sports, or media",Self-employed freelancer,male,English,no preference,"some college credit, no degree",34000.0
sales,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",52000.0
legal,Employed for wages,female,English,no preference,bachelor's degree,19000.0
software development and IT,Self-employed freelancer,male,Portuguese,in an office with other developers,associate's degree,30000.0
finance,Employed for wages,male,English,from home,"some college credit, no degree",28000.0
education,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",7000.0
education,Employed for wages,female,Polish,from home,bachelor's degree,20000.0
software development and IT,Employed for wages,male,Serbo-Croatian,in an office with other developers,"some college credit, no degree",45000.0
software development and IT,Self-employed freelancer,male,Yue (Cantonese) Chinese,in an office with other developers,bachelor's degree,7000.0
software development and IT,Employed for wages,female,Romanian,in an office with other developers,master's degree (non-professional),50000.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,80000.0
software development and IT,Employed for wages,male,Arabic,no preference,associate's degree,50000.0
construction and extraction,Employed for wages,female,English,in an office with other developers,"trade, technical, or vocational training",40000.0
software development and IT,Self-employed freelancer,male,English,in an office with other developers,"trade, technical, or vocational training",90000.0
office and administrative support,Employed for wages,male,English,no preference,high school diploma or equivalent (GED),23000.0
software development and IT,Employed for wages,male,English,no preference,"some college credit, no degree",9000.0
software development and IT,Employed for wages,male,English,no preference,associate's degree,34000.0
software development and IT,Self-employed business owner,male,English,from home,bachelor's degree,52000.0
software development and IT,Employed for wages,male,English,in an office with other developers,master's degree (non-professional),52000.0
education,Employed for wages,female,English,in an office with other developers,bachelor's degree,42000.0
sales,Employed for wages,male,English,in an office with other developers,bachelor's degree,55000.0
food and beverage,Employed for wages,male,Tagalog,no preference,bachelor's degree,7000.0
software development and IT,Employed for wages,male,English,no preference,"some college credit, no degree",12000.0
software development and IT,Employed for wages,male,English,in an office with other developers,"trade, technical, or vocational training",42000.0
software development and IT,Employed for wages,male,Portuguese,in an office with other developers,bachelor's degree,25000.0
